NR.SAS,type,ID,depth,X_coord,Y_coord,block,depth1,di,reps,reps_included,ol_occ,OC2,BD,MC,coreLength,coreArea,coreVol,VMC,BD_g_mean,group_q75,group_q25,group_iqr,mEquiv,mMeas,BD1,mMeas1,tC1,MSOC1,vsoc1,tC,MSOC,vsoc
1,PA,1,1,504493.189,252635.545,1,5,10,1,1,FALSE,8.562858,0.956666666666667,0.291666666666667,49.6666666666667,7.092884,35.22799,0.291666666666667,0.961419041666667,1.0525,0.88,0.1725,1e+05,9.56666666666667,1.08103333333333,10.8103333333333,9.24940855971139,85.6193232650734,92.567349266,10.4519616724739,85.62038819918,81.9180082
2,PA,1,2,504493.189,252635.545,1,15,10,2,2,TRUE,5.902578,1.2,0.206666666666667,53,7.092884,37.5922866666667,0.206666666666667,1.18375728333333,1.27,1.0975,0.1725,1e+05,12,1.356,13.56,7.37363126843658,59.017776104232,80.03895768,8.33233333333333,59.0186969064,70.830936
3,PA,1,3,504493.189,252635.545,1,30,20,1,1,FALSE,2.629516,1.29333333333333,0.202333333333333,54.3333333333333,7.092884,38.5380033333333,0.202333333333333,1.26987564166667,1.3525,1.21,0.1425,2e+05,25.8666666666667,1.46146666666667,29.2293333333333,13.682882766171,52.5826341000331,38.4294998346667,15.4619175257732,52.5835183186133,34.0084069333333
4,PA,1,4,504493.189,252635.545,1,50,20,3,3,TRUE,2.92599366666667,1.25,0.213,53,7.092884,37.5922866666667,0.213,1.37158333333333,1.45,1.3,0.15,2e+05,25,1.4125,28.25,14.1572920353982,58.511607401225,41.3296605416667,15.998,58.5125583491667,36.5749208333333
5,PA,1,5,504493.189,252635.545,1,83,45,1,1,FALSE,0.726749,1.25,0.213,53,7.092884,37.5922866666667,0.213,1.37158333333333,1.45,1.3,0.15,450000,56.25,1.4125,63.5625,31.853907079646,32.6990856016688,10.265329625,35.9955,32.699617036875,9.0843625
6,PA,1,6,504493.189,252635.545,1,128,45,1,1,FALSE,0.633211,1.25,0.213,53,7.092884,37.5922866666667,0.213,1.37158333333333,1.45,1.3,0.15,450000,56.25,1.4125,63.5625,31.853907079646,28.4904701525813,8.944105375,35.9955,28.490933188125,7.9151375
7,PA,2,1,504523.189,252635.545,1,5,10,1,1,FALSE,5.924744,0.966666666666667,0.254333333333333,60.6666666666667,7.092884,43.0301633333333,0.254333333333333,0.961419041666667,1.0525,0.88,0.1725,1e+05,9.66666666666667,1.09233333333333,10.9233333333333,9.1537146780592,59.2409682046373,64.7179536266667,10.3438275862069,59.2417127474667,57.2725253333333
8,PA,2,2,504523.189,252635.545,1,15,10,1,1,FALSE,3.001043,1.21,0.208,58.3333333333333,7.092884,41.37516,0.208,1.18375728333333,1.27,1.0975,0.1725,1e+05,12.1,1.3673,13.673,7.31268390258173,30.0063266739061,41.033260939,8.26346280991736,30.00679873797,36.3126203
9,PA,2,3,504523.189,252635.545,1,30,20,1,1,FALSE,1.433183,1.21333333333333,0.171333333333333,58.3333333333333,7.092884,41.37516,0.171333333333333,1.26987564166667,1.3525,1.21,0.1425,2e+05,24.2666666666667,1.37106666666667,27.4213333333333,14.5851827287757,28.6597300211229,19.6498943853333,16.4815164835165,28.6601821425867,17.3892870666667
10,PA,2,4,504523.189,252635.545,1,50,20,1,1,FALSE,0.722682,1.4,0.194,62.3666666666667,7.092884,44.2343933333333,0.194,1.37158333333333,1.45,1.3,0.15,2e+05,28,1.582,31.64,12.6402250316056,14.451353434152,11.43282924,14.2837142857143,14.4516164904,10.117548
11,PA,2,5,504523.189,252635.545,1,83,45,2,2,FALSE,0.798481,1.4,0.194,62.3666666666667,7.092884,44.2343933333333,0.194,1.37158333333333,1.45,1.3,0.15,450000,63,1.582,71.19,28.4405063211125,35.925960613761,12.63196942,32.1383571428571,35.9266145697,11.178734
12,PA,2,6,504523.189,252635.545,1,128,45,1,1,FALSE,0.618508,1.4,0.194,62.3666666666667,7.092884,44.2343933333333,0.194,1.37158333333333,1.45,1.3,0.15,450000,63,1.582,71.19,28.4405063211125,27.828456841548,9.78479656,32.1383571428571,27.8289633996,8.659112
13,PA,3,1,504493.189,252605.545,1,5,10,1,1,FALSE,6.842879,0.956666666666667,0.295666666666667,53.3333333333333,7.092884,37.8287166666667,0.295666666666667,0.961419041666667,1.0525,0.88,0.1725,1e+05,9.56666666666667,1.08103333333333,10.8103333333333,9.24940855971139,68.421392619705,73.9738029496667,10.4519616724739,68.4222436457567,65.4635424333333
14,PA,3,2,504493.189,252605.545,1,15,10,1,1,FALSE,3.342369,1.16666666666667,0.217333333333333,65,7.092884,46.1037466666667,0.217333333333333,1.18375728333333,1.27,1.0975,0.1725,1e+05,11.6666666666667,1.31833333333333,13.1833333333333,7.58433501896334,33.419283643535,44.06356465,8.57042857142857,33.4197905695,38.994305
15,PA,3,3,504493.189,252605.545,1,30,20,1,1,FALSE,2.658199,1.31333333333333,0.209,58.3333333333333,7.092884,41.3751533333333,0.209,1.26987564166667,1.3525,1.21,0.1425,2e+05,26.2666666666667,1.48406666666667,29.6813333333333,13.4744835362293,53.1560901109415,39.4494452926667,15.2264263959391,53.1569977972934,34.9110135333333
16,PA,3,4,504493.189,252605.545,1,50,20,1,1,FALSE,0.920445,1.26666666666667,0.269666666666667,51.6666666666667,7.092884,36.6465633333333,0.269666666666667,1.37158333333333,1.45,1.3,0.15,2e+05,25.3333333333333,1.43133333333333,28.6266666666667,13.9709855612483,18.40626507278,13.1746361,15.7874736842105,18.406568206,11.65897
17,PA,3,5,504493.189,252605.545,1,83,45,2,2,FALSE,0.7340885,1.26666666666667,0.269666666666667,51.6666666666667,7.092884,36.6465633333333,0.269666666666667,1.37158333333333,1.45,1.3,0.15,450000,57,1.43133333333333,64.41,31.4347175128086,33.0292542359715,10.5072533966667,35.5218157894737,33.02979819555,9.29845433333333
18,PA,3,6,504493.189,252605.545,1,128,45,2,2,FALSE,0.8292855,1.26666666666667,0.269666666666667,51.6666666666667,7.092884,36.6465633333333,0.269666666666667,1.37158333333333,1.45,1.3,0.15,450000,57,1.43133333333333,64.41,31.4347175128086,37.3125060720945,11.86983979,35.5218157894737,37.31312057265,10.504283
19,PA,4,1,504583.189,252605.545,1,5,10,1,1,FALSE,6.198153,0.966666666666667,0.311666666666667,52.3333333333333,7.092884,37.1194266666667,0.311666666666667,0.961419041666667,1.0525,0.88,0.1725,1e+05,9.66666666666667,1.09233333333333,10.9233333333333,9.1537146780592,61.974759550873,67.70449127,10.3438275862069,61.9755384521,59.915479
20,PA,4,2,504583.189,252605.545,1,15,10,1,1,FALSE,2.713989,1.08,0.286333333333333,64,7.092884,45.3944566666667,0.286333333333333,1.18375728333333,1.27,1.0975,0.1725,1e+05,10.8,1.2204,12.204,8.19303474270731,27.1365778478244,33.121521756,9.25825925925926,27.13695889188,29.3110812
21,PA,4,3,504583.189,252605.545,1,30,20,1,1,FALSE,0.797394,1.29666666666667,0.274,49.6666666666667,7.092884,35.22799,0.274,1.26987564166667,1.3525,1.21,0.1425,2e+05,25.9333333333333,1.46523333333333,29.3046666666667,13.6477031189572,15.9455432634628,11.683682686,15.4221645244216,15.94581209156,10.3395422
22,PA,4,4,504583.189,252605.545,1,50,20,2,1,FALSE,0.899,1.32,0.272,49.3333333333333,7.092884,34.99156,0.272,1.37158333333333,1.45,1.3,0.15,2e+05,26.4,1.4916,29.832,13.4064204880665,17.9773181032,13.409484,15.1495151515152,17.97762664,11.8668
23,PA,4,5,504583.189,252605.545,1,83,45,2,1,FALSE,0.663652,1.32,0.272,49.3333333333333,7.092884,34.99156,0.272,1.37158333333333,1.45,1.3,0.15,450000,59.4,1.4916,67.122,30.1644460981496,29.8598854350456,9.899033232,34.0864090909091,29.86039790712,8.7602064
24,PA,4,6,504583.189,252605.545,1,128,45,1,1,FALSE,0.506985,1.32,0.272,49.3333333333333,7.092884,34.99156,0.272,1.37158333333333,1.45,1.3,0.15,450000,59.4,1.4916,67.122,30.1644460981496,22.810922015283,7.56218826,34.0864090909091,22.8113135091,6.692202
25,PA,5,1,504493.189,252575.545,1,5,10,1,1,FALSE,7.708829,0.956666666666667,0.299,64.3333333333333,7.092884,45.63089,0.299,0.961419041666667,1.0525,0.88,0.1725,1e+05,9.56666666666667,1.08103333333333,10.8103333333333,9.24940855971139,77.0799564988901,83.3350110996666,10.4519616724739,77.0809152202567,73.7477974333333
26,PA,5,2,504493.189,252575.545,1,15,10,1,1,FALSE,3.70738,1.24333333333333,0.247333333333333,56.3333333333333,7.092884,39.9565766666667,0.247333333333333,1.18375728333333,1.27,1.0975,0.1725,1e+05,12.4333333333333,1.40496666666667,14.0496666666667,7.11660658615863,37.0685912546793,52.0874532066667,8.04189544235925,37.0691904908667,46.0950913333333
27,PA,5,3,504493.189,252575.545,1,30,20,1,1,FALSE,1.223404,1.27666666666667,0.237333333333333,55,7.092884,39.0108633333333,0.237333333333333,1.26987564166667,1.3525,1.21,0.1425,2e+05,25.5333333333333,1.44263333333333,28.8526666666667,13.8615365881836,24.4645501532189,17.6492339053333,15.6637963446475,24.4649562417867,15.6187910666667
28,PA,5,4,504493.189,252575.545,1,50,20,1,1,FALSE,0.935649,1.37666666666667,0.249,46,7.092884,32.6272633333333,0.249,1.37158333333333,1.45,1.3,0.15,2e+05,27.5333333333333,1.55563333333333,31.1126666666667,12.8545000321413,18.7100689464546,14.555267727,14.5258450363196,18.71040384642,12.8807679
29,PA,5,5,504493.189,252575.545,1,83,45,1,1,FALSE,0.667098,1.37666666666667,0.249,46,7.092884,32.6272633333333,0.249,1.37158333333333,1.45,1.3,0.15,450000,61.95,1.55563333333333,70.0035,28.9226250723178,30.0147400805157,10.377598854,32.6831513317191,30.01527732789,9.1837158
30,PA,5,6,504493.189,252575.545,1,128,45,1,1,FALSE,0.673647,1.37666666666667,0.249,46,7.092884,32.6272633333333,0.249,1.37158333333333,1.45,1.3,0.15,450000,61.95,1.55563333333333,70.0035,28.9226250723178,30.3093992352236,10.479477281,32.6831513317191,30.309941756835,9.2738737
31,PA,8,1,504583.189,252575.545,1,5,10,1,1,FALSE,5.318426,0.9,0.455,65.7,7.092884,46.6014866666667,0.455,0.961419041666667,1.0525,0.88,0.1725,1e+05,9,1.017,10.17,9.83184169124877,53.178851160758,54.08839242,11.1101111111111,53.1794734166,47.865834
32,PA,8,2,504583.189,252575.545,1,15,10,1,1,FALSE,3.326307,1.00666666666667,0.397666666666667,53.4333333333333,7.092884,37.89743,0.397666666666667,1.18375728333333,1.27,1.0975,0.1725,1e+05,10.0666666666667,1.13753333333333,11.3753333333333,8.78995118091777,33.2592862149106,37.837850894,9.93277483443709,33.25972151762,33.4848238
33,PA,8,3,504583.189,252575.545,1,30,20,1,1,FALSE,1.9182,1.21333333333333,0.349333333333333,51.4333333333333,7.092884,36.4831466666667,0.349333333333333,1.26987564166667,1.3525,1.21,0.1425,2e+05,24.2666666666667,1.37106666666667,27.4213333333333,14.5851827287757,38.35874003984,26.2998008,16.4815164835165,38.359345168,23.27416
34,PA,8,4,504583.189,252575.545,1,50,20,1,1,FALSE,1.010638,1.28666666666667,0.322666666666667,55.8666666666667,7.092884,39.6257666666667,0.322666666666667,1.37158333333333,1.45,1.3,0.15,2e+05,25.7333333333333,1.45393333333333,29.0786666666667,13.7537888944931,20.2098211994477,14.6940027613333,15.5420414507772,20.2101592915467,13.0035422666667
35,PA,8,5,504583.189,252575.545,1,83,45,1,1,FALSE,0.512467,1.28666666666667,0.322666666666667,55.8666666666667,7.092884,39.6257666666667,0.322666666666667,1.37158333333333,1.45,1.3,0.15,450000,57.9,1.45393333333333,65.427,30.9460250126095,23.0576620821591,7.45092853533333,34.9695932642487,23.05804781607,6.59374206666667
36,PA,8,6,504583.189,252575.545,1,128,45,1,1,FALSE,0.466631,1.28666666666667,0.322666666666667,55.8666666666667,7.092884,39.6257666666667,0.322666666666667,1.37158333333333,1.45,1.3,0.15,450000,57.9,1.45393333333333,65.427,30.9460250126095,20.9953419733563,6.78450365266667,34.9695932642487,20.99569320651,6.00398553333333
37,PA,9,1,504493.189,252545.545,1,5,10,1,1,FALSE,6.066031,0.996666666666667,0.253333333333333,58.6666666666667,7.092884,41.6115866666667,0.253333333333333,0.961419041666667,1.0525,0.88,0.1725,1e+05,9.96666666666667,1.12623333333333,11.2623333333333,8.87815470447214,60.6534782336868,68.3176631323333,10.0324448160535,60.6542641891034,60.4581089666667
38,PA,9,2,504493.189,252545.545,1,15,10,1,1,FALSE,3.723946,1.15333333333333,0.197666666666667,59.3333333333333,7.092884,42.0844433333333,0.197666666666667,1.18375728333333,1.27,1.0975,0.1725,1e+05,11.5333333333333,1.30326666666667,13.0326666666667,7.67202675328661,37.2346067053097,48.5329469026667,8.66952023121387,37.2351650489467,42.9495105333333
39,PA,9,3,504493.189,252545.545,1,30,20,1,1,FALSE,1.92249,1.16333333333333,0.197,57.6666666666667,7.092884,40.9023,0.197,1.26987564166667,1.3525,1.21,0.1425,2e+05,23.2666666666667,1.31456666666667,26.2913333333333,15.2121390065167,38.444745517458,25.27241271,17.1899770773639,38.4453270066,22.364967
40,PA,9,4,504493.189,252545.545,1,50,20,2,2,FALSE,1.3805735,1.27666666666667,0.203666666666667,49.3333333333333,7.092884,34.99156,0.203666666666667,1.37158333333333,1.45,1.3,0.15,2e+05,25.5333333333333,1.44263333333333,28.8526666666667,13.8615365881836,27.6074866772996,19.9166135021667,15.6637963446475,27.6079449356633,17.6253216833333
41,PA,9,5,504493.189,252545.545,1,83,45,1,1,FALSE,0.570384,1.27666666666667,0.203666666666667,49.3333333333333,7.092884,34.99156,0.203666666666667,1.37158333333333,1.45,1.3,0.15,450000,57.45,1.44263333333333,64.9185,31.1884573234132,25.6635771526296,8.228549712,35.2435417754569,25.66400314392,7.2819024
42,PA,9,6,504493.189,252545.545,1,128,45,2,1,FALSE,0.54,1.27666666666667,0.203666666666667,49.3333333333333,7.092884,34.99156,0.203666666666667,1.37158333333333,1.45,1.3,0.15,450000,57.45,1.44263333333333,64.9185,31.1884573234132,24.296494401,7.79022,35.2435417754569,24.2968977,6.894
43,PA,10,1,504553.189,252545.545,1,5,10,2,2,FALSE,4.4505275,1.09666666666667,0.212333333333333,61.6666666666667,7.092884,43.73945,0.212333333333333,0.961419041666667,1.0525,0.88,0.1725,1e+05,10.9666666666667,1.23923333333333,12.3923333333333,8.0685053393227,44.4997597579711,55.1524202891667,9.11754103343465,44.5003942548417,48.8074515833333
44,PA,10,2,504553.189,252545.545,1,15,10,1,1,FALSE,2.865405,1.22,0.200666666666667,64,7.092884,45.3944566666667,0.200666666666667,1.18375728333333,1.27,1.0975,0.1725,1e+05,12.2,1.3786,13.786,7.25273567387205,28.650099752667,39.50247333,8.19572131147541,28.6505542059,34.957941
45,PA,10,3,504553.189,252545.545,1,30,20,1,1,FALSE,2.036182,1.25333333333333,0.209666666666667,66.6666666666667,7.092884,47.28589,0.209666666666667,1.26987564166667,1.3525,1.21,0.1425,2e+05,25.0666666666667,1.41626666666667,28.3253333333333,14.1196343438147,40.7178724466123,28.8377669386667,15.9554468085106,40.7185359704533,25.5201477333333
46,PA,10,4,504553.189,252545.545,1,50,20,1,1,FALSE,0.752189,1.25,0.22,62.3333333333333,7.092884,44.21231,0.22,1.37158333333333,1.45,1.3,0.15,2e+05,25,1.4125,28.25,14.1572920353982,15.041655066075,10.624669625,15.998,15.0418995275,9.4023625
