fraction,type,depth,rep,occ,weight,w_occ,tot_weight,tot_w_occ,weight_prop,c_prop
POM,FW,1,1,27.958,0.58,0.1621564,29.09,0.9111949,0.0199381230663458,0.177960170760394
POM,FW,1,2,26.064,0.65,0.169416,29.49,0.903437,0.0220413699559173,0.187523867187197
POM,FW,1,4,29.983,0.58,0.1739014,28.7,0.7042075,0.0202090592334495,0.246946248087389
POM,FW,1,5,32.757,0.51,0.1670607,29.1,0.839775,0.0175257731958763,0.198935071894257
POM,FW,1,6,32.694,0.65,0.212511,29.27,1.2368629,0.0222070379227878,0.171814515578081
POM,FW,2,1,28.318,0.26,0.0736268,28.8,0.5371349,0.00902777777777778,0.137073200791831
POM,FW,2,2,42.23,0.12,0.050676,29.22,0.4927128,0.00410677618069815,0.102850991490377
POM,FW,2,4,18.239,0.24,0.0437736,29.28,0.5836531,0.00819672131147541,0.0749993446449612
POM,FW,2,5,30.011,0.2,0.060022,29.43,0.602711,0.00679578661230037,0.0995867007570793
POM,FW,2,6,40.36,0.19,0.076684,29.55,0.5962152,0.00642978003384095,0.128617988940906
POM,PA,1,1,19.163,1.56,0.2989428,30.5,1.3625129,0.0511475409836066,0.219405482326076
POM,PA,1,2,27.51,0.91,0.250341,28.86,1.241167,0.0315315315315315,0.201698079307619
POM,PA,1,4,15.852,0.26,0.0412152,30,0.875887,0.00866666666666667,0.0470553849982932
POM,PA,1,5,28.089,0.89,0.2499921,28.97,1.2396217,0.030721435968243,0.201668057279088
POM,PA,1,6,28.549,0.96,0.2740704,31.42,1.1596358,0.0305537873965627,0.236341789379045
POM,PA,2,1,22.829,0.24,0.0547896,28.83,0.5895219,0.00832466181061394,0.0929390409414816
POM,PA,2,2,37.673,0.15,0.0565095,29.52,0.5546326,0.00508130081300813,0.101886365857326
POM,PA,2,4,32.691,0.13,0.0424983,29.89,0.4692515,0.00434928069588491,0.0905661462989463
POM,PA,2,5,39.805,0.88,0.350284,29.53,1.0636738,0.0298002031832035,0.329315246836013
POM,PA,2,6,28.682,0.29,0.0831778,29.1,0.7033713,0.00996563573883161,0.118255891305204
POM,SP,1,1,7.862,0.92,0.0723304,29.16,0.9390905,0.0315500685871056,0.0770217566890518
POM,SP,1,2,31.951,0.68,0.2172668,29.91,1.0502181,0.0227348712805082,0.206877790432292
POM,SP,1,4,32.038,0.82,0.2627116,28.18,0.9537452,0.0290986515259049,0.275452605161211
POM,SP,1,5,35.454,0.86,0.3049044,29.45,1.194444,0.0292020373514431,0.255268894983775
POM,SP,1,6,13.363,0.22,0.0293986,29.25,1.0031726,0.00752136752136752,0.0293056249742068
POM,SP,2,1,24.499,0.21,0.0514479,28.92,0.6291677,0.00726141078838174,0.0817713623887558
POM,SP,2,2,36.386,0.24,0.0873264,29.3,0.6608521,0.00819112627986348,0.132142123782311
POM,SP,2,4,29.708,0.88,0.2614304,29.52,1.108816,0.029810298102981,0.235774375550136
POM,SP,2,5,32.104,0.25,0.08026,29.2,0.6278965,0.00856164383561644,0.127823614242156
POM,SP,2,6,25.032,0.92,0.2302944,29.89,0.6707763,0.030779524924724,0.343325189038432
rSOC,FW,1,1,0,0.95,0,29.09,0.9111949,0.0326572705397044,0
rSOC,FW,1,2,0,0.78,0,29.49,0.903437,0.0264496439471007,0
rSOC,FW,1,4,0,0.8,0,28.7,0.7042075,0.0278745644599303,0
rSOC,FW,1,5,0,0.86,0,29.1,0.839775,0.029553264604811,0
rSOC,FW,1,6,0,0.84,0,29.27,1.2368629,0.0286983259309874,0
rSOC,FW,2,1,0,1.22,0,28.8,0.5371349,0.0423611111111111,0
