X_coord,Y_coord,key,dateCollected,type,ID,rep,depth,block,depth1,ol_bd,BD,MC,coreLength,coreArea,coreVol,VMC,BD_g_mean,group_q75,group_q25,group_iqr,grid,lat,lon
2,1,1,MW11,16/01/2014,MW,1,1,1,1,5,FALSE,0.81,0.54,55,7.092884,39,0.54,0.804444444444444,0.83,0.8,0.0299999999999999,SV0000100001,49.766818,-7.557147
3,1,1,MW11,16/01/2014,MW,1,1,1,1,5,FALSE,0.81,0.54,55,7.092884,39,0.54,0.804444444444444,0.83,0.8,0.0299999999999999,SV0000100001,49.766818,-7.557147
5,1,1,MW11,16/01/2014,MW,1,3,1,1,5,FALSE,0.8,0.52,64,7.092884,45.4,0.52,0.804444444444444,0.83,0.8,0.0299999999999999,SV0000100001,49.766818,-7.557147
6,1,1,MW11,16/01/2014,MW,1,3,1,1,5,FALSE,0.8,0.52,64,7.092884,45.4,0.52,0.804444444444444,0.83,0.8,0.0299999999999999,SV0000100001,49.766818,-7.557147
8,1,1,MW11,16/01/2014,MW,1,2,1,1,5,FALSE,0.76,0.51,68,7.092884,48.2,0.51,0.804444444444444,0.83,0.8,0.0299999999999999,SV0000100001,49.766818,-7.557147
9,1,1,MW11,16/01/2014,MW,1,2,1,1,5,FALSE,0.76,0.51,68,7.092884,48.2,0.51,0.804444444444444,0.83,0.8,0.0299999999999999,SV0000100001,49.766818,-7.557147
11,1,1,MW12,16/01/2014,MW,1,1,2,1,15,FALSE,0.87,0.42,62,7.092884,44,0.42,0.995555555555556,1.09,0.91,0.18,SV0000100001,49.766818,-7.557147
13,1,1,MW12,16/01/2014,MW,1,3,2,1,15,FALSE,0.82,0.37,50,7.092884,35.5,0.37,0.995555555555556,1.09,0.91,0.18,SV0000100001,49.766818,-7.557147
15,1,1,MW13,16/01/2014,MW,1,2,3,1,30,FALSE,1.03,0.29,78,7.092884,55.3,0.29,1.21111111111111,1.29,1.14,0.15,SV0000100001,49.766818,-7.557147
16,1,1,MW13,16/01/2014,MW,1,2,3,1,30,FALSE,1.03,0.29,78,7.092884,55.3,0.29,1.21111111111111,1.29,1.14,0.15,SV0000100001,49.766818,-7.557147
18,1,1,MW13,16/01/2014,MW,1,1,3,1,30,FALSE,1.14,0.29,47,7.092884,33.3,0.29,1.21111111111111,1.29,1.14,0.15,SV0000100001,49.766818,-7.557147
19,1,1,MW13,16/01/2014,MW,1,1,3,1,30,FALSE,1.14,0.29,47,7.092884,33.3,0.29,1.21111111111111,1.29,1.14,0.15,SV0000100001,49.766818,-7.557147
