treat,ID,depth,OCC
MW,1,1,7.597648
MW,1,1,7.573374
MW,1,1,7.653243
MW,1,2,3.20574
MW,1,2,3.212517
MW,1,2,3.296181
MW,1,3,1.888457
MW,1,3,1.837389
MW,1,3,1.843145
MW,1,4,0.727071
MW,1,4,0.728177
MW,1,4,0.682932
MW,1,5,0.651096
MW,1,5,0.728061
MW,1,5,0.602242
MW,1,6,0.637
MW,1,6,0.614047
MW,1,6,0.579469
MW,2,1,7.421806
MW,2,1,7.608126
MW,2,1,7.736286
MW,2,2,3.88439
MW,2,2,3.774244
MW,2,2,3.820511
MW,2,3,1.38476
MW,2,3,1.295573
MW,2,3,1.377371
MW,2,4,0.56746
MW,2,4,0.55355
MW,2,4,0.529711
MW,2,5,0.533081
MW,2,5,0.593921
MW,2,5,0.594916
MW,2,6,0.516121
MW,2,6,0.563212
MW,2,6,0.555
MW,3,1,7.279885
MW,3,1,7.310978
MW,3,1,7.13757
MW,3,2,4.52803
MW,3,2,4.497098
MW,3,2,4.567959
MW,3,3,2.113348
MW,3,3,2.069131
MW,3,3,1.99332
MW,3,4,0.654872
MW,3,4,0.633813
MW,3,4,0.648431
MW,3,5,0.681833
MW,3,5,0.606629
MW,3,5,0.602318
MW,3,6,0.789234
MW,3,6,0.684995
MW,3,6,0.646303
