site,eastings,northings,D,type,ID,rep,depth,sample_no,bottle,cylinder,sieve,tin,sieve+sample0.6-2,sieve0.6-2,sandL,sieve+sample0.212-0.6,sieve0.212-0.6,sandM,sieve+sample0.063-0.212,sieve0.063-0.212,sandS,bottle+sample0.002-0.063,bottle0.002-0.063,Z,bottle+sample<0.002,bottle<0.002,C,S,F,%sandL,%sandM,%sandS,SAND,SILT,CLAY,total
CP,504327.5074,252399.4576,0.063905,SP,24,1,1,1,1A,1c,1,1B,88.8947,88.821,0.0737,84.6659,84.084,0.5819,82.9235,82.4302,0.4933,80.0889,79.7015,0.3874,79.303,79.0437,0.2593,1.1489,7.6188,0.97,7.64,6.47,15.08,33.63,51.29,100
CP,504327.5074,252399.4576,0.063905,SP,24,1,2,2,2A,2c,2,2B,91.3546,91.0965,0.2581,85.1931,84.3421,0.851,87.0825,86.4189,0.6636,80.2885,79.6627,0.6258,80.4851,80.0929,0.3922,1.7727,13.0106,1.98,6.54,5.1,13.63,35.91,50.47,100
CP,504327.5074,252399.4576,0.063905,SP,24,1,3,3,3A,3c,3,3B,91.8731,91.6853,0.1878,85.8275,82.2565,3.571,88.2196,87.1636,1.056,85.6419,85.2056,0.4363,80.7471,80.4706,0.2765,4.8148,12.2627,1.53,29.12,8.61,39.26,26.06,34.67,100
CP,504327.5074,252399.4576,0.063905,SP,24,1,4,4,4A,4c,4,4B,90.1961,89.9135,0.2826,84.1312,83.521,0.6102,85.8919,84.7255,1.1664,85.2593,84.8322,0.4271,78.8128,78.5309,0.2819,2.0592,9.3231,3.03,6.55,12.51,22.09,31.15,46.76,100
CP,504598.4599,252481.687,0.063905,SP,11,1,1,5,5A,5C,6,5B,87.6995,82.2704,5.4291,83.8419,82.5921,1.2498,79.9527,79.0775,0.8752,80.2059,79.8233,0.3826,83.2337,82.994,0.2397,7.5541,13.928,38.98,8.97,6.28,54.24,20.52,25.24,100
CP,504598.4599,252481.687,0.063905,SP,11,1,2,6,6A,6C,7,6B,92.7666,92.6234,0.1432,87.5979,86.1252,1.4727,85.115,84.2419,0.8731,80.1289,79.6633,0.4656,80.2095,79.9567,0.2528,2.489,10.5229,1.36,14,8.3,23.65,40.45,35.9,100
CP,504598.4599,252481.687,0.063905,SP,11,1,3,7,7A,7C,8,7B,93.0794,92.9604,0.119,88.1997,86.9025,1.2972,85.4014,84.4903,0.9111,80.4568,79.9743,0.4825,82.6494,82.3806,0.2688,2.3273,10.6992,1.11,12.12,8.52,21.75,39.95,38.3,100
CP,504598.4599,252481.687,0.063905,SP,11,2,4,8,8A,8C,1,8B,89.131,82.8211,6.3099,85.3953,84.0865,1.3088,83.3296,82.4311,0.8985,80.0967,79.5743,0.5224,80.4001,80.1521,0.248,8.5172,17.6871,35.68,7.4,5.08,48.15,31.03,20.82,100
CP,504621.3046,252584.4821,0.063905,SP,3,1,1,9,9A,9C,9,9B,93.0865,92.9251,0.1614,86.7383,86.1317,0.6066,84.804,84.2401,0.5639,80.2454,79.7825,0.4629,80.3329,80.024,0.3089,1.3319,9.3118,1.73,6.51,6.06,14.3,33.08,52.62,100
CP,504621.3046,252584.4821,0.063905,SP,3,1,2,10,10A,11C,2,11B,91.1684,91.0979,0.0705,85.0019,84.3596,0.6423,87.1093,86.4229,0.6864,81.2383,80.7403,0.498,82.2753,81.9377,0.3376,1.3992,10.0811,0.7,6.37,6.81,13.88,31.82,54.3,100
