depth,reading,treatment,id,rep,date,air,water,sf,a,b,c,x
125,139930,SP,1,1,23/10/2013,164185,118257,0.528109214,0.475,0.418,0,0.56
115,139820,SP,1,1,23/10/2013,164185,118257,0.530504268,0.475,0.418,0,0.56
105,138050,SP,1,1,23/10/2013,164185,118257,0.56904285,0.475,0.418,0,0.58
95,137030,SP,1,1,23/10/2013,164185,118257,0.591251524,0.475,0.418,0,0.59
85,141380,SP,1,1,23/10/2013,164185,118257,0.49653806,0.475,0.418,0,0.55
75,145640,SP,1,1,23/10/2013,164185,118257,0.403784184,0.475,0.418,0,0.5
65,143210,SP,1,1,23/10/2013,164185,118257,0.456693085,0.475,0.418,0,0.53
55,147020,SP,1,1,23/10/2013,164185,118257,0.373737154,0.475,0.418,0,0.49
45,145700,SP,1,1,23/10/2013,164185,118257,0.402477791,0.475,0.418,0,0.5
35,143870,SP,1,1,23/10/2013,164185,118257,0.442322766,0.475,0.418,0,0.52
25,141670,SP,1,1,23/10/2013,164185,118257,0.490223829,0.475,0.418,0,0.54
15,145270,SP,1,1,23/10/2013,164185,118257,0.411840272,0.475,0.418,0,0.51
5,149580,SP,1,1,23/10/2013,164185,118257,0.317997736,0.475,0.418,0,0.45
125,140280,SP,1,2,23/10/2013,164185,118257,0.520488591,0.475,0.418,0,0.56
115,140050,SP,1,2,23/10/2013,164185,118257,0.525496429,0.475,0.418,0,0.56
105,137800,SP,1,2,23/10/2013,164185,118257,0.574486152,0.475,0.418,0,0.58
95,137470,SP,1,2,23/10/2013,164185,118257,0.581671312,0.475,0.418,0,0.58
85,141900,SP,1,2,23/10/2013,164185,118257,0.48521599,0.475,0.418,0,0.54
75,147780,SP,1,2,23/10/2013,164185,118257,0.357189514,0.475,0.418,0,0.48
65,145090,SP,1,2,23/10/2013,164185,118257,0.41575945,0.475,0.418,0,0.51
55,147270,SP,1,2,23/10/2013,164185,118257,0.368293851,0.475,0.418,0,0.48
45,145770,SP,1,2,23/10/2013,164185,118257,0.400953667,0.475,0.418,0,0.5
35,144480,SP,1,2,23/10/2013,164185,118257,0.429041108,0.475,0.418,0,0.51
25,143090,SP,1,2,23/10/2013,164185,118257,0.45930587,0.475,0.418,0,0.53
15,145520,SP,1,2,23/10/2013,164185,118257,0.406396969,0.475,0.418,0,0.5
5,145700,SP,1,2,23/10/2013,164185,118257,0.402477791,0.475,0.418,0,0.5
125,140050,SP,1,3,23/10/2013,164185,118257,0.525496429,0.475,0.418,0,0.56
115,138910,SP,1,3,23/10/2013,164185,118257,0.550317889,0.475,0.418,0,0.57
105,138410,SP,1,3,23/10/2013,164185,118257,0.561204494,0.475,0.418,0,0.58
95,137580,SP,1,3,23/10/2013,164185,118257,0.579276258,0.475,0.418,0,0.58
85,146010,SP,1,3,23/10/2013,164185,118257,0.395728096,0.475,0.418,0,0.5
75,146010,SP,1,3,23/10/2013,164185,118257,0.395728096,0.475,0.418,0,0.5
65,143810,SP,1,3,23/10/2013,164185,118257,0.443629159,0.475,0.418,0,0.52
55,147080,SP,1,3,23/10/2013,164185,118257,0.372430761,0.475,0.418,0,0.48
45,146010,SP,1,3,23/10/2013,164185,118257,0.395728096,0.475,0.418,0,0.5
35,144350,SP,1,3,23/10/2013,164185,118257,0.431871625,0.475,0.418,0,0.52
25,143090,SP,1,3,23/10/2013,164185,118257,0.45930587,0.475,0.418,0,0.53
15,145890,SP,1,3,23/10/2013,164185,118257,0.398340881,0.475,0.418,0,0.5
5,147900,SP,1,3,23/10/2013,164185,118257,0.354576729,0.475,0.418,0,0.47
125,140620,PA,2,1,23/10/2013,164185,118257,0.513085699,0.475,0.418,0,0.55
115,138910,PA,2,1,23/10/2013,164185,118257,0.550317889,0.475,0.418,0,0.57
105,138300,PA,2,1,23/10/2013,164185,118257,0.563599547,0.475,0.418,0,0.58
95,142260,PA,2,1,23/10/2013,164185,118257,0.477377635,0.475,0.418,0,0.54
85,141030,PA,2,1,23/10/2013,164185,118257,0.504158683,0.475,0.418,0,0.55
75,140160,PA,2,1,23/10/2013,164185,118257,0.523101376,0.475,0.418,0,0.56
65,139030,PA,2,1,23/10/2013,164185,118257,0.547705104,0.475,0.418,0,0.57
55,138740,PA,2,1,23/10/2013,164185,118257,0.554019335,0.475,0.418,0,0.57
45,138690,PA,2,1,23/10/2013,164185,118257,0.555107995,0.475,0.418,0,0.57
35,139710,PA,2,1,23/10/2013,164185,118257,0.532899321,0.475,0.418,0,0.56
25,143210,PA,2,1,23/10/2013,164185,118257,0.456693085,0.475,0.418,0,0.53
15,144600,PA,2,1,23/10/2013,164185,118257,0.426428323,0.475,0.418,0,0.51
5,146890,PA,2,1,23/10/2013,164185,118257,0.376567671,0.475,0.418,0,0.49
125,144290,SP,2,1,23/10/2013,164185,118257,0.433178018,0.475,0.418,0,0.52
