eastings,northings,type,ID,rep,depth,SANDL,SANDM,SANDS,SAND,SILT,CLAY
504327.5074,252399.4576,SP,24,1,5,0.97,7.64,6.47,15.08,33.63,51.29
504327.5074,252399.4576,SP,24,1,15,1.98,6.54,5.1,13.63,35.91,50.47
504327.5074,252399.4576,SP,24,1,30,1.53,29.12,8.61,39.26,26.06,34.67
504327.5074,252399.4576,SP,24,1,50,3.03,6.55,12.51,22.09,31.15,46.76
504598.4599,252481.687,SP,11,1,5,38.98,8.97,6.28,54.24,20.52,25.24
504598.4599,252481.687,SP,11,1,15,1.36,14,8.3,23.65,40.45,35.9
504598.4599,252481.687,SP,11,1,30,1.11,12.12,8.52,21.75,39.95,38.3
504598.4599,252481.687,SP,11,2,50,35.68,7.4,5.08,48.15,31.03,20.82
504621.3046,252584.4821,SP,3,1,5,1.73,6.51,6.06,14.3,33.08,52.62
504621.3046,252584.4821,SP,3,1,15,0.7,6.37,6.81,13.88,31.82,54.3
504621.3046,252584.4821,SP,3,1,30,0.88,2.28,3.25,6.42,36.3,57.28
504621.3046,252584.4821,SP,3,1,50,2.2,5.21,4.94,12.35,45.82,41.83
504493.189,252425.545,PA,19,1,5,2.02,19.72,13.32,35.05,33.55,31.4
504493.189,252425.545,PA,19,1,15,2.15,17.58,10.73,30.45,34.3,35.25
504493.189,252425.545,PA,19,1,30,1.65,23.71,10.39,35.76,19.92,44.32
504493.189,252425.545,PA,19,1,50,1.95,31.84,13.05,46.85,15.53,37.62
504403.189,252305.545,PA,40,1,5,2.63,7.48,12.2,22.32,28.26,49.42
504403.189,252305.545,PA,40,1,15,1.3,7.16,12.69,21.15,31.58,47.27
504403.189,252305.545,PA,40,1,30,2.08,7.27,10.2,19.55,32.28,48.18
504403.189,252305.545,PA,40,1,50,4.3,4.47,9.76,18.52,41.95,39.53
504643.189,252365.545,FW,3,1,5,1.85,20.81,10.61,33.27,26.29,40.44
504643.189,252365.545,FW,3,1,15,1.47,33.24,8.77,43.48,27.46,29.05
504643.189,252365.545,FW,3,1,30,2.46,25.63,6.77,34.85,31.74,33.41
504643.189,252365.545,FW,3,1,50,2.82,39.71,13.01,55.54,19.2,25.26
504543.189,252265.545,FW,9,1,5,1.22,5.75,6.79,13.75,29.94,56.31
504543.189,252265.545,FW,9,1,15,1.84,5.35,8.01,15.2,30.47,54.33
504543.189,252265.545,FW,9,1,30,0.96,1.12,2.45,4.54,41.82,53.65
504543.189,252265.545,FW,9,1,50,0.77,1.21,2.76,4.74,43.81,51.45
504493.189,252485.545,PA,14,1,5,2.72,11.32,8.85,22.88,35.12,41.99
504493.189,252485.545,PA,14,1,15,1.33,17.4,10.6,29.33,38.05,32.62
504493.189,252485.545,PA,14,1,30,3.34,17.1,10.59,31.03,38.14,30.83
504493.189,252485.545,PA,14,1,50,2.66,22.01,11.63,36.29,35.82,27.89
504462.9078,252135.545,FW,20,1,5,4.1,10.08,12.23,26.42,31.06,42.52
504462.9078,252135.545,FW,20,1,15,3.29,8.94,13.58,25.81,33.16,41.03
504462.9078,252135.545,FW,20,1,30,2.77,5.07,10.86,18.7,40.23,41.06
504462.9078,252135.545,FW,20,1,50,4.61,4.71,10.16,19.48,29.18,51.33
504643.189,252265.545,FW,11,1,5,1.03,16.43,9.47,26.93,34.78,38.29
