"year","block","treat","dist_m","size_mm","depth_m","count"
1996,"B1","C",1,"2-5",0.2,4
1996,"B1","C",1,"2-5",0.4,0
1996,"B1","C",1,"2-5",0.6,0
1996,"B1","C",1,"2-5",0.8,0
1996,"B1","C",1,"2-5",1,0
1996,"B1","C",2,"2-5",0.2,0
1996,"B1","C",2,"2-5",0.4,0
1996,"B1","C",2,"2-5",0.6,0
1996,"B1","C",2,"2-5",0.8,0
1996,"B1","C",2,"2-5",1,0
1996,"B1","C",3,"2-5",0.2,0
1996,"B1","C",3,"2-5",0.4,0
1996,"B1","C",3,"2-5",0.6,0
1996,"B1","C",3,"2-5",0.8,0
1996,"B1","C",3,"2-5",1,0
1996,"B1","C",4,"2-5",0.2,0
1996,"B1","C",4,"2-5",0.4,0
1996,"B1","C",4,"2-5",0.6,0
1996,"B1","C",4,"2-5",0.8,0
1996,"B1","C",4,"2-5",1,0
1996,"B1","C",5,"2-5",0.2,0
1996,"B1","C",5,"2-5",0.4,0
1996,"B1","C",5,"2-5",0.6,0
1996,"B1","C",5,"2-5",0.8,0
1996,"B1","C",5,"2-5",1,0
1996,"B1","C",1,"5-10",0.2,2
1996,"B1","C",1,"5-10",0.4,0
1996,"B1","C",1,"5-10",0.6,0
1996,"B1","C",1,"5-10",0.8,0
1996,"B1","C",1,"5-10",1,0
1996,"B1","C",2,"5-10",0.2,0
1996,"B1","C",2,"5-10",0.4,0
1996,"B1","C",2,"5-10",0.6,0
1996,"B1","C",2,"5-10",0.8,0
1996,"B1","C",2,"5-10",1,0
1996,"B1","C",3,"5-10",0.2,0
1996,"B1","C",3,"5-10",0.4,0
1996,"B1","C",3,"5-10",0.6,0
1996,"B1","C",3,"5-10",0.8,0
1996,"B1","C",3,"5-10",1,0
1996,"B1","C",4,"5-10",0.2,0
1996,"B1","C",4,"5-10",0.4,0
1996,"B1","C",4,"5-10",0.6,0
1996,"B1","C",4,"5-10",0.8,0
1996,"B1","C",4,"5-10",1,0
1996,"B1","C",5,"5-10",0.2,0
1996,"B1","C",5,"5-10",0.4,0
1996,"B1","C",5,"5-10",0.6,0
1996,"B1","C",5,"5-10",0.8,0
1996,"B1","C",5,"5-10",1,0
1996,"B1","C",1,"10-20",0.2,0
1996,"B1","C",1,"10-20",0.4,0
1996,"B1","C",1,"10-20",0.6,0
1996,"B1","C",1,"10-20",0.8,0
1996,"B1","C",1,"10-20",1,0
1996,"B1","C",2,"10-20",0.2,0
1996,"B1","C",2,"10-20",0.4,0
1996,"B1","C",2,"10-20",0.6,0
1996,"B1","C",2,"10-20",0.8,0
1996,"B1","C",2,"10-20",1,0
1996,"B1","C",3,"10-20",0.2,0
1996,"B1","C",3,"10-20",0.4,0
1996,"B1","C",3,"10-20",0.6,0
1996,"B1","C",3,"10-20",0.8,0
1996,"B1","C",3,"10-20",1,0
1996,"B1","C",4,"10-20",0.2,0
1996,"B1","C",4,"10-20",0.4,0
1996,"B1","C",4,"10-20",0.6,0
1996,"B1","C",4,"10-20",0.8,0
1996,"B1","C",4,"10-20",1,0
1996,"B1","C",5,"10-20",0.2,0
1996,"B1","C",5,"10-20",0.4,0
1996,"B1","C",5,"10-20",0.6,0
1996,"B1","C",5,"10-20",0.8,0
1996,"B1","C",5,"10-20",1,0
1996,"B2","C",1,"2-5",0.2,6
1996,"B2","C",1,"2-5",0.4,6
1996,"B2","C",1,"2-5",0.6,18
1996,"B2","C",1,"2-5",0.8,7
1996,"B2","C",1,"2-5",1,0
1996,"B2","C",2,"2-5",0.2,0
1996,"B2","C",2,"2-5",0.4,1
1996,"B2","C",2,"2-5",0.6,0
1996,"B2","C",2,"2-5",0.8,1
1996,"B2","C",2,"2-5",1,0
1996,"B2","C",3,"2-5",0.2,0
1996,"B2","C",3,"2-5",0.4,0
1996,"B2","C",3,"2-5",0.6,0
1996,"B2","C",3,"2-5",0.8,0
1996,"B2","C",3,"2-5",1,0
1996,"B2","C",4,"2-5",0.2,0
1996,"B2","C",4,"2-5",0.4,0
1996,"B2","C",4,"2-5",0.6,0
1996,"B2","C",4,"2-5",0.8,0
1996,"B2","C",4,"2-5",1,0
1996,"B2","C",5,"2-5",0.2,0
1996,"B2","C",5,"2-5",0.4,0
1996,"B2","C",5,"2-5",0.6,0
1996,"B2","C",5,"2-5",0.8,0
1996,"B2","C",5,"2-5",1,0
1996,"B2","C",1,"5-10",0.2,3
1996,"B2","C",1,"5-10",0.4,3
1996,"B2","C",1,"5-10",0.6,1
1996,"B2","C",1,"5-10",0.8,1
1996,"B2","C",1,"5-10",1,1
1996,"B2","C",2,"5-10",0.2,0
1996,"B2","C",2,"5-10",0.4,0
1996,"B2","C",2,"5-10",0.6,0
1996,"B2","C",2,"5-10",0.8,0
1996,"B2","C",2,"5-10",1,0
1996,"B2","C",3,"5-10",0.2,0
1996,"B2","C",3,"5-10",0.4,0
1996,"B2","C",3,"5-10",0.6,0
1996,"B2","C",3,"5-10",0.8,0
1996,"B2","C",3,"5-10",1,0
1996,"B2","C",4,"5-10",0.2,0
1996,"B2","C",4,"5-10",0.4,0
1996,"B2","C",4,"5-10",0.6,0
1996,"B2","C",4,"5-10",0.8,0
1996,"B2","C",4,"5-10",1,0
1996,"B2","C",5,"5-10",0.2,0
1996,"B2","C",5,"5-10",0.4,0
1996,"B2","C",5,"5-10",0.6,0
1996,"B2","C",5,"5-10",0.8,0
1996,"B2","C",5,"5-10",1,0
1996,"B2","C",1,"10-20",0.2,0
1996,"B2","C",1,"10-20",0.4,2
1996,"B2","C",1,"10-20",0.6,5
1996,"B2","C",1,"10-20",0.8,1
1996,"B2","C",1,"10-20",1,0
1996,"B2","C",2,"10-20",0.2,0
1996,"B2","C",2,"10-20",0.4,0
1996,"B2","C",2,"10-20",0.6,0
1996,"B2","C",2,"10-20",0.8,0
1996,"B2","C",2,"10-20",1,0
1996,"B2","C",3,"10-20",0.2,0
1996,"B2","C",3,"10-20",0.4,0
1996,"B2","C",3,"10-20",0.6,0
1996,"B2","C",3,"10-20",0.8,0
1996,"B2","C",3,"10-20",1,0
1996,"B2","C",4,"10-20",0.2,0
1996,"B2","C",4,"10-20",0.4,0
1996,"B2","C",4,"10-20",0.6,0
1996,"B2","C",4,"10-20",0.8,0
1996,"B2","C",4,"10-20",1,0
1996,"B2","C",5,"10-20",0.2,0
1996,"B2","C",5,"10-20",0.4,0
1996,"B2","C",5,"10-20",0.6,0
1996,"B2","C",5,"10-20",0.8,0
1996,"B2","C",5,"10-20",1,0
1996,"B3","C",1,"2-5",0.2,0
1996,"B3","C",1,"2-5",0.4,1
1996,"B3","C",1,"2-5",0.6,3
1996,"B3","C",1,"2-5",0.8,0
1996,"B3","C",1,"2-5",1,0
1996,"B3","C",2,"2-5",0.2,0
1996,"B3","C",2,"2-5",0.4,0
1996,"B3","C",2,"2-5",0.6,0
1996,"B3","C",2,"2-5",0.8,0
1996,"B3","C",2,"2-5",1,0
1996,"B3","C",3,"2-5",0.2,0
1996,"B3","C",3,"2-5",0.4,0
1996,"B3","C",3,"2-5",0.6,0
1996,"B3","C",3,"2-5",0.8,0
1996,"B3","C",3,"2-5",1,0
1996,"B3","C",4,"2-5",0.2,0
1996,"B3","C",4,"2-5",0.4,0
1996,"B3","C",4,"2-5",0.6,0
1996,"B3","C",4,"2-5",0.8,0
1996,"B3","C",4,"2-5",1,0
1996,"B3","C",5,"2-5",0.2,0
1996,"B3","C",5,"2-5",0.4,0
1996,"B3","C",5,"2-5",0.6,0
1996,"B3","C",5,"2-5",0.8,0
1996,"B3","C",5,"2-5",1,0
1996,"B3","C",1,"5-10",0.2,0
1996,"B3","C",1,"5-10",0.4,1
1996,"B3","C",1,"5-10",0.6,1
1996,"B3","C",1,"5-10",0.8,5
1996,"B3","C",1,"5-10",1,0
1996,"B3","C",2,"5-10",0.2,0
1996,"B3","C",2,"5-10",0.4,0
1996,"B3","C",2,"5-10",0.6,0
1996,"B3","C",2,"5-10",0.8,0
1996,"B3","C",2,"5-10",1,0
1996,"B3","C",3,"5-10",0.2,0
1996,"B3","C",3,"5-10",0.4,0
1996,"B3","C",3,"5-10",0.6,0
1996,"B3","C",3,"5-10",0.8,0
1996,"B3","C",3,"5-10",1,0
1996,"B3","C",4,"5-10",0.2,0
1996,"B3","C",4,"5-10",0.4,0
1996,"B3","C",4,"5-10",0.6,0
1996,"B3","C",4,"5-10",0.8,0
1996,"B3","C",4,"5-10",1,0
1996,"B3","C",5,"5-10",0.2,0
1996,"B3","C",5,"5-10",0.4,0
1996,"B3","C",5,"5-10",0.6,0
1996,"B3","C",5,"5-10",0.8,0
1996,"B3","C",5,"5-10",1,0
1996,"B3","C",1,"10-20",0.2,0
