year,id,block,ctrltmt,treat,depth_cm,dist_m,length_cm_cm3,mass_mg_cm3
2011,1CB4,B1,tmt,C,15,0,8.0961,1.6590
2011,1CB4,B1,tmt,C,45,0,4.9983,0.6587
2011,1CB4,B1,tmt,C,75,0,2.3032,0.3259
2011,1CB4,B1,tmt,C,105,0,0.4671,0.3259
2011,1CB4,B1,tmt,C,135,0,0.7731,0.0266
2011,1CB4,B1,tmt,C,15,1,11.5213,1.8859
2011,1CB4,B1,tmt,C,45,1,2.1475,0.6553
2011,1CB4,B1,tmt,C,75,1,0.4349,0.0007
2011,1CB4,B1,tmt,C,105,1,1.5569,0.1059
2011,1CB4,B1,tmt,C,135,1,2.8562,0.4954
2011,1CB4,B1,tmt,C,15,2,6.7485,0.7065
2011,1CB4,B1,tmt,C,45,2,1.4603,0.1257
2011,1CB4,B1,tmt,C,75,2,0.4778,0.2166
2011,1CB4,B1,tmt,C,105,2,0.8268,0.0820
2011,1CB4,B1,tmt,C,135,2,0.2147,0.0150
2011,1CB4,B1,tmt,C,15,3,6.8183,0.7516
2011,1CB4,B1,tmt,C,45,3,2.3515,0.4127
2011,1CB4,B1,tmt,C,75,3,0.5476,0.0881
2011,1CB4,B1,tmt,C,105,3,0.2738,0.0417
2011,1CB4,B1,tmt,C,135,3,0.4510,0.0868
2011,1CB4,B1,tmt,C,15,4,13.0729,1.2245
2011,1CB4,B1,tmt,C,45,4,1.8200,0.9436
2011,1CB4,B1,tmt,C,75,4,1.0737,0.3915
2011,1CB4,B1,tmt,C,105,4,2.7649,0.2187
2011,1CB4,B1,tmt,C,135,4,0.2147,0.0355
2011,1FB4,B1,tmt,F,15,0,2.7595,1.1056
2011,1FB4,B1,tmt,F,45,0,1.0791,0.0793
2011,1FB4,B1,tmt,F,75,0,0.7248,0.0752
2011,1FB4,B1,tmt,F,105,0,0.1235,0.0143
2011,1FB4,B1,tmt,F,135,0,0.0913,0.0403
2011,1FB4,B1,tmt,F,15,1,6.1848,0.8432
2011,1FB4,B1,tmt,F,45,1,3.2266,0.7434
