year,ID,block,ctrltmt,treat,dist_m,depth_cm,di_cm,OCC_g_100g,BD_g_cm3,mEquiv,mMeas,tC,SOC_ESM_Mg_ha2,SOC_Mg_ha2
2011,1CB4,B1,tmt,C,0.5,5,10,5.52462181,1.17,100000,11.7,8.546008547,55.23975429,64.63807518
2011,1CB4,B1,tmt,C,0.5,16,10,2.78,1.44,100000,14.4,6.943444444,27.7959968,40.032
2011,1CB4,B1,tmt,C,0.5,30,20,2.49,1.48,200000,29.6,13.51151351,49.7926296,73.704
2011,1CB4,B1,tmt,C,0.5,50,20,1.14653674,1.51,200000,30.2,13.24303311,22.92727226,34.62540955
2011,1CB4,B1,tmt,C,0.5,83,45,0.499243475,1.54,450000,69.3,29.21627922,22.46249662,34.59757282
2011,1CB4,B1,tmt,C,0.5,128,45,0.299696233,1.56,450000,70.2,28.84165385,13.48422662,21.03867556
2011,1CB4,B1,tmt,C,1.5,5,10,3.38299143,1.26,100000,12.6,7.935507937,33.82565173,42.62569202
2011,1CB4,B1,tmt,C,1.5,16,10,3,1.28,100000,12.8,7.8115,29.99616,38.4
2011,1CB4,B1,tmt,C,1.5,30,20,2.49,1.47,200000,29.4,13.60344218,49.7926794,73.206
2011,1CB4,B1,tmt,C,1.5,50,20,0.49799599,1.79,200000,35.8,11.17118436,9.958136974,17.82825644
2011,1CB4,B1,tmt,C,1.5,83,45,0.448420489,1.56,450000,70.2,28.84165385,20.17577409,31.47911833
2011,1CB4,B1,tmt,C,1.5,128,45,0.349120612,1.46,450000,65.7,30.81741781,15.70813382,22.93722421
2011,1CB4,B1,tmt,C,2.5,5,10,3.089118924,1.39,100000,13.9,7.193244604,30.88689536,42.93875304
2011,1CB4,B1,tmt,C,2.5,16,10,3.13,1.31,100000,13.1,7.632587786,31.2958997,41.003
2011,1CB4,B1,tmt,C,2.5,30,20,2.58,1.41,200000,28.2,14.18239716,51.5927244,72.756
2011,1CB4,B1,tmt,C,2.5,50,20,0.598193082,1.52,200000,30.4,13.15589474,11.96204313,18.18506969
2011,1CB4,B1,tmt,C,2.5,83,45,0.299546085,1.5,450000,67.5,29.9955,13.47755189,20.21936074
2011,1CB4,B1,tmt,C,2.5,128,45,0.349470432,1.43,450000,64.35,31.46403147,15.7239206,22.4884223
2011,1CB4,B1,tmt,C,3.5,5,10,3.296658566,1.32,100000,13.2,7.574757576,32.96223407,43.51589307
2011,1CB4,B1,tmt,C,3.5,16,10,2.94,1.4,100000,14,7.141857143,29.395884,41.16
2011,1CB4,B1,tmt,C,3.5,30,20,1.5,1.62,200000,32.4,12.34367901,29.99514,48.6
2011,1CB4,B1,tmt,C,3.5,50,20,0.500245972,1.54,200000,30.8,12.98501299,10.00337868,15.40757594
2011,1CB4,B1,tmt,C,3.5,83,45,0.548343658,1.52,450000,68.4,29.60076316,24.67171394,37.50670621
2011,1CB4,B1,tmt,C,3.5,128,45,0.49749874,1.47,450000,66.15,30.6077449,22.38415235,32.90954165
2011,1CB4,B1,tmt,C,4.5,5,10,3.494704323,1.37,100000,13.7,7.298270073,34.94225549,47.87744923
2011,1CB4,B1,tmt,C,4.5,16,10,2.83,1.37,100000,13.7,7.298270073,28.2961229,38.771
2011,1CB4,B1,tmt,C,4.5,30,20,2.49,1.5,200000,30,13.33133333,49.79253,74.7
2011,1CB4,B1,tmt,C,4.5,50,20,0.298648344,1.59,200000,31.8,12.57661635,5.972017178,9.497017339
2011,1CB4,B1,tmt,C,4.5,83,45,0.24987211,1.65,450000,74.25,27.26822727,11.24238965,18.55300417
2011,1CB4,B1,tmt,C,4.5,128,45,0.298946993,1.43,450000,64.35,31.46403147,13.45069096,19.237239
2011,1FB4,B1,tmt,F,0.5,5,10,3.148324067,1.28,100000,12.8,7.8115,31.47921082,40.29854806
2011,1FB4,B1,tmt,F,0.5,16,10,3.84,1.33,100000,13.3,7.517796992,38.3948928,51.072
2011,1FB4,B1,tmt,F,0.5,30,20,1.34,1.48,200000,29.6,13.51151351,26.7960336,39.664
2011,1FB4,B1,tmt,F,0.5,50,20,0.796395585,1.65,200000,33,12.11921212,15.92528359,26.28105431
2011,1FB4,B1,tmt,F,0.5,83,45,0.748490217,1.46,450000,65.7,30.81741781,33.67714218,49.17580726
2011,1FB4,B1,tmt,F,0.5,128,45,0.793620687,1.43,450000,64.35,31.46403147,35.70782397,51.06949121
2011,1FB4,B1,tmt,F,1.5,5,10,3.380730072,1.24,100000,12.4,8.063516129,33.80310861,41.92105289
2011,1FB4,B1,tmt,F,1.5,16,10,3.34,1.27,100000,12.7,7.873015748,33.3957582,42.418
2011,1FB4,B1,tmt,F,1.5,30,20,0.8,1.42,200000,28.4,14.08250704,15.997728,22.72
2011,1FB4,B1,tmt,F,1.5,50,20,0.398994985,1.63,200000,32.6,12.26793865,7.978598976,13.00723651
2011,1FB4,B1,tmt,F,1.5,83,45,0.695803474,1.62,450000,72.9,27.77327778,31.30608392,50.72407325
2011,1FB4,B1,tmt,F,1.5,128,45,0.498244988,1.44,450000,64.8,31.2455,22.41779583,32.28627522
2011,2CB4,B2,tmt,C,2.5,5,10,3.561115826,1.09,100000,10.9,9.173311927,35.60727664,38.8161625
2011,1FB4,B1,tmt,F,2.5,16,10,3.14,1.36,100000,13.6,7.351941176,31.3957296,42.704
2011,2CB4,B2,tmt,C,2.5,30,20,1.1,1.32,200000,26.4,15.14951515,21.997096,29.04
2011,1FB4,B1,tmt,F,2.5,50,20,0.849991449,1.5,200000,30,13.33133333,16.99727901,25.49974347
